State,Total,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,Total,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree,,,
Alabama,3360058,433073,1039241,1002387,547975,337382,37217,22395,30845,35107,50643,60922,,,
Alaska,484058,31090,139156,167655,89583,56574,47809,23264,36522,47878,53033,71947,,,
Arizona,4944540,612998,1170685,1668699,931038,561120,39956,25701,31371,37016,52077,69902,,,
Arkansas,2036456,254993,710306,595790,307185,168182,35215,25695,30057,31778,46964,62027,,,
California,26937872,4301513,5546711,7661164,5889724,3538760,45095,25949,33494,41090,65078,92334,,,
Colorado,3974943,302220,836590,1140531,1057825,637777,46887,30968,35537,40819,58229,71616,,,
Connecticut,2496420,231839,668361,601672,549166,445382,50788,24426,37017,42884,64143,85175,,,
Delaware,687311,66522,207642,184948,134287,93912,43164,31024,33671,38048,56603,70579,,,
District of Columbia,505145,41168,79881,82667,129825,171604,71361,30883,31768,44248,75222,101956,,,
Florida,15484502,1794635,4396122,4540108,2982643,1770994,36021,23292,30064,34752,47810,62425,,,
Georgia,7080222,856025,1939945,1982684,1410395,891173,40312,25479,31184,35846,53662,70027,,,
Hawaii,996668,75978,273421,312060,219979,115230,44557,31620,35573,41842,52183,72035,,,
Idaho,1170997,99906,305274,429162,220189,116466,36445,27667,31395,33984,46364,60816,,,
Illinois,8694694,882637,2255611,2447474,1886240,1222732,45015,27186,32304,39400,60357,76363,,,
Indiana,4502015,468083,1526825,1294281,777771,435055,39833,27765,32101,37154,50630,65941,,,
Iowa,2123004,156481,658822,685448,420199,202054,41268,30381,33066,39073,51751,66887,,,
Kansas,1918081,157757,504035,603800,414851,237638,41181,26549,32106,36994,51678,62008,,,
Kentucky,3048442,390653,1012643,879223,453040,312883,37674,24631,31313,35326,50711,60270,,,
Louisiana,3140201,440844,1066026,849056,503947,280328,37599,22913,30786,35064,50699,60992,,,
Maine,991152,67314,311108,283731,205722,123277,39550,25504,31798,36274,47375,60347,,,
Maryland,4183858,402152,1030636,1040840,911781,798449,52011,30300,36700,44022,65193,89066,,,
Massachusetts,4850576,420941,1158066,1089826,1197208,984535,52470,30693,39463,42066,65373,85717,,,
Michigan,6894627,596287,2005981,2221564,1252685,818110,40450,23192,31028,36272,54634,71623,,,
Minnesota,3847212,245690,939997,1228299,942830,490396,47050,28327,35337,41858,60316,75925,,,
Mississippi,1979664,290917,598609,648387,270712,171039,32574,20764,27158,31459,44148,56208,,,
Missouri,4206162,391815,1308859,1234207,775808,495473,40078,24831,31297,36127,51217,63368,,,
Montana,741950,42682,211079,239041,171309,77839,36953,27804,30843,33040,42150,58287,,,
Nebraska,1271770,101272,326389,421522,277159,145428,41488,30298,32174,38209,50779,61853,,,
Nevada,2136466,280915,593417,713215,355837,193082,39505,29609,32879,40057,50293,66105,,,
New Hampshire,979750,65672,275105,270736,224636,143601,47392,30119,37820,42368,60544,71884,,,
New Jersey,6191229,599619,1666321,1373524,1555781,995984,51786,28427,35048,44983,67038,92098,,,
New Mexico,1425988,201328,376390,453672,221281,173317,35284,21016,29002,32187,45109,62501,,,
New York,13664734,1694230,3524192,3280094,2898440,2267778,47645,26036,33491,41421,62699,81041,,,
North Carolina,7187077,818924,1839042,2207926,1471420,849765,38534,23976,30369,34861,50977,65620,,,
North Dakota,504375,33019,134432,183527,108527,44870,43865,28756,34343,41818,51854,61288,,,
Ohio,8049805,740847,2627758,2324615,1464945,891640,40586,24836,31514,36821,53680,71180,,,
Oklahoma,2619244,303266,825284,804185,447888,238621,38088,24760,31766,35955,47828,61092,,,
Oregon,2988118,258399,687243,1010160,627911,404405,40774,27408,31451,36817,52498,70854,,,
Pennsylvania,9028036,811832,3103046,2195756,1761627,1155775,42229,26343,32567,39075,55326,73805,,,
Rhode Island,746952,80207,212282,194188,156087,104188,46060,31893,36883,40363,57398,76827,,,
South Carolina,3563204,415678,1015260,1077707,656496,398063,37727,23085,30592,35994,50734,60788,,,
South Dakota,588029,46294,176644,190307,121231,53553,38646,22131,31306,36732,47630,57244,,,
Tennessee,4693962,562817,1480753,1302168,845100,503124,37610,25365,30596,35518,50633,62832,,,
Texas,18772550,2882388,4734422,5379207,3750797,2025736,40895,25282,31234,38121,56853,72195,,,
Utah,1911592,133060,442206,671665,448109,216552,41679,28028,34667,37247,51611,76099,,,
Vermont,445558,30858,129254,113174,101015,71257,41496,27052,32425,39882,47170,61617,,,
Virginia,5872757,584712,1387610,1575365,1312800,1012270,46873,23892,32366,40071,61529,85582,,,
Washington,5290324,440074,1167347,1727271,1204728,750904,48567,30627,36441,42030,62447,86167,,,
West Virginia,1281086,164805,515431,331144,161686,108020,35440,20200,30573,32380,45304,58802,,,
Wisconsin,4015285,290862,1223392,1242652,829878,428501,42222,29561,33547,40482,52425,67112,,,
Wyoming,389847,21250,117501,137539,73183,40374,40800,29982,36929,36885,47962,61288,,,
Puerto Rico,2301735,488408,648146,538601,443589,182991,18587,11259,15055,17187,24668,34649,,,
United States,224898568,25618541,60482353,64296023,45730479,28771172,41801,25876,31956,38125,56344,75495,,,
